INFO:ssgetpy.query:Found 2904 entries
INFO:ssgetpy.query:Downloading HB/1138_bus to /home/jb2695/.ssgetpy/MM/HB/1138_bus
INFO:ssgetpy.query:Downloading HB/494_bus to /home/jb2695/.ssgetpy/MM/HB/494_bus
INFO:ssgetpy.query:Downloading HB/662_bus to /home/jb2695/.ssgetpy/MM/HB/662_bus
INFO:ssgetpy.query:Downloading HB/685_bus to /home/jb2695/.ssgetpy/MM/HB/685_bus
INFO:ssgetpy.query:Downloading HB/abb313 to /home/jb2695/.ssgetpy/MM/HB/abb313
INFO:ssgetpy.query:Downloading HB/arc130 to /home/jb2695/.ssgetpy/MM/HB/arc130
INFO:ssgetpy.query:Downloading HB/ash219 to /home/jb2695/.ssgetpy/MM/HB/ash219
INFO:ssgetpy.query:Downloading HB/ash292 to /home/jb2695/.ssgetpy/MM/HB/ash292
INFO:ssgetpy.query:Downloading HB/ash331 to /home/jb2695/.ssgetpy/MM/HB/ash331
INFO:ssgetpy.query:Downloading HB/ash608 to /home/jb2695/.ssgetpy/MM/HB/ash608
INFO:ssgetpy.query:Downloading HB/ash85 to /home/jb2695/.ssgetpy/MM/HB/ash85
INFO:ssgetpy.query:Downloading HB/ash958 to /home/jb2695/.ssgetpy/MM/HB/ash958
INFO:ssgetpy.query:Downloading HB/bcspwr01 to /home/jb2695/.ssgetpy/MM/HB/bcspwr01
INFO:ssgetpy.query:Downloading HB/bcspwr02 to /home/jb2695/.ssgetpy/MM/HB/bcspwr02
INFO:ssgetpy.query:Downloading HB/bcspwr03 to /home/jb2695/.ssgetpy/MM/HB/bcspwr03
INFO:ssgetpy.query:Downloading HB/bcspwr04 to /home/jb2695/.ssgetpy/MM/HB/bcspwr04
INFO:ssgetpy.query:Downloading HB/bcspwr05 to /home/jb2695/.ssgetpy/MM/HB/bcspwr05
INFO:ssgetpy.query:Downloading HB/bcspwr06 to /home/jb2695/.ssgetpy/MM/HB/bcspwr06
INFO:ssgetpy.query:Downloading HB/bcspwr07 to /home/jb2695/.ssgetpy/MM/HB/bcspwr07
INFO:ssgetpy.query:Downloading HB/bcspwr08 to /home/jb2695/.ssgetpy/MM/HB/bcspwr08
INFO:ssgetpy.query:Downloading HB/bcspwr09 to /home/jb2695/.ssgetpy/MM/HB/bcspwr09
INFO:ssgetpy.query:Downloading HB/bcspwr10 to /home/jb2695/.ssgetpy/MM/HB/bcspwr10
INFO:ssgetpy.query:Downloading HB/bcsstk01 to /home/jb2695/.ssgetpy/MM/HB/bcsstk01
INFO:ssgetpy.query:Downloading HB/bcsstk02 to /home/jb2695/.ssgetpy/MM/HB/bcsstk02
INFO:ssgetpy.query:Downloading HB/bcsstk03 to /home/jb2695/.ssgetpy/MM/HB/bcsstk03
INFO:ssgetpy.query:Downloading HB/bcsstk04 to /home/jb2695/.ssgetpy/MM/HB/bcsstk04
INFO:ssgetpy.query:Downloading HB/bcsstk05 to /home/jb2695/.ssgetpy/MM/HB/bcsstk05
INFO:ssgetpy.query:Downloading HB/bcsstk06 to /home/jb2695/.ssgetpy/MM/HB/bcsstk06
INFO:ssgetpy.query:Downloading HB/bcsstk07 to /home/jb2695/.ssgetpy/MM/HB/bcsstk07
INFO:ssgetpy.query:Downloading HB/bcsstk08 to /home/jb2695/.ssgetpy/MM/HB/bcsstk08
INFO:ssgetpy.query:Downloading HB/bcsstk09 to /home/jb2695/.ssgetpy/MM/HB/bcsstk09
INFO:ssgetpy.query:Downloading HB/bcsstk10 to /home/jb2695/.ssgetpy/MM/HB/bcsstk10
INFO:ssgetpy.query:Downloading HB/bcsstk11 to /home/jb2695/.ssgetpy/MM/HB/bcsstk11
INFO:ssgetpy.query:Downloading HB/bcsstk12 to /home/jb2695/.ssgetpy/MM/HB/bcsstk12
INFO:ssgetpy.query:Downloading HB/bcsstk13 to /home/jb2695/.ssgetpy/MM/HB/bcsstk13
